1,JaMeS hAYeS,WExForD weiGht CLub,F,1262,19-11-1999,false
2,NIaMh KellEHeR,limerICK pOWERLiftiNG,F,593,21-11-1996,false
3,LEAH LarKiN,MUnSTer BarbElL,M,691,14-08-2004,false
4,cloDaGh cORCoRaN,leiNSTEr PoWerhOUsE,F,1279,11-10-2000,false
5,KEVIn bRAdY,COrK STreNgTh and COnDitIoning,M,540,19-04-1988,false
6,SEAn hEAlY,sOutHSIdE StREngtH,F,834,26-05-2001,false
7,nIaMh coughlAn,Dublin barBElL clUb,F,1177,13-08-1991,false
8,eLlEN RocHe,lEiNStER PowERhoUSe,F,1064,13-05-1997,false
9,miCHEaL obriEN,mUNSteR BArbeLl,F,662,28-01-1982,true
10,SaOIRsE BradY,leiNsTeR pOWeRHouse,F,500,04-08-1987,false
11,mAry kELLy,DuBlIN cITy LiftiNG,M,912,09-06-2002,false
12,NIAmH lYnch,DUBlIn city LiftINg,F,516,01-08-1985,false
13,eLLEN mcGRATh,WExForD weighT clUB,F,1020,15-01-1995,false
14,EOGhaN QUinN,bElFast IroN WOrKS,M,538,19-01-1996,true
15,patrick OroUrKE,DONegAl PoWErliFtiNg,F,1161,11-05-1985,false
16,tadhg kEanE,galWay City POWeR,F,682,10-01-2005,false
17,dArRagH hANleY,LIMERiCk pOWeRLIfTing,M,941,15-11-2004,false
18,roRy hogaN,leINsTer POwERHOuSE,M,922,18-01-1990,false
19,eOgHAN CArRolL,cORK StRENgTh anD coNditioniNg,M,588,26-04-1994,false
20,laUrA REILly,SoUthSIde stRengTh,M,1078,17-11-1980,false
21,ROry OConnor,lIMerICk poWERLiFTIng,F,831,08-09-1987,false
22,NIAmH nOLan,BELFAST irON WOrks,M,1364,24-02-1998,false
23,EllEN hoGaN,GAlWay iROn LEagUe,F,638,30-09-1982,false
24,mARy QuInn,CORk BaRBeLl aSSOcIaTIOn,F,963,14-09-2002,false
25,KEelAN McGratH,DuBLiN mEtrO PoWER,F,543,14-12-2006,false
26,MarY CaRrOll,CORk BaRBELl ASSoCIatiON,F,1143,04-12-1996,true
27,SiobHan hEalY,sOutHSiDe StrENgTh,F,1067,10-06-1983,false
28,shAnE osulLivAN,DUbLIN mEtro pOwer,F,901,16-02-2002,false
29,iDe MUrPHy,CorK BaRBElL AsSociaTIOn,M,633,31-07-1981,false
30,tadhG odOnNEll,lEInSTEr POwErhoUSe,F,951,24-04-1983,false
31,cIan ORouRkE,DUbLiN CITy liFTInG,F,704,29-06-1981,false
32,sIOBHaN osuLlIVaN,cOrK baRBeLL ASsoCIatIon,F,537,09-03-1996,true
33,LiAM KellY,LImeRicK PoWerlifTIng,M,596,03-10-1982,false
34,seAn oDonNElL,CONNACHT POWeRLIFTiNG,F,1397,30-08-1987,false
35,ROisIn poweR,KERRY sTRENGtH UniT,F,579,17-02-2004,false
36,seAn oSHEa,DOneGal poweRLiftInG,F,593,25-04-2006,true
37,aLAn MoLLOy,CONNacht PowerliFting,M,729,13-08-2007,false
38,Ide DOylE,dUBlIN BarbeLL CLUB,F,1242,24-10-1984,false
39,JaMEs RYaN,gAlwAY iron lEAGUe,M,1286,12-11-1984,false
40,eiMEaR GAllAgher,DUBLiN baRbElL CluB,M,997,15-09-2007,false
41,KEVin McgRAtH,duBlIN MeTRo POWeR,F,1257,11-02-1982,false
42,AOiFE MurphY,dONEgAL poWeRLIFTing,F,908,08-05-1983,true
43,idE cAsEy,belfAst iroN WORKS,F,1346,12-04-1990,true
44,DeiRdRE HAYeS,ULSTeR strenGtH cLub,M,1386,29-04-1997,false
45,sIOBHan rochE,DOnEGAl POweRLifting,M,1206,21-05-1999,false
46,iDE kellEHer,cORk BarBELl aSSociAtiON,F,1026,08-08-1997,false
47,MICheal OcOnnOR,CORK sTReNGTH AND conDITIoniNg,M,1228,09-12-1980,false
48,keeLAN rEIlLY,GalWaY Iron lEague,M,752,17-10-1986,false
49,deIrdre BARREtt,GalwaY iroN LeAgUE,F,922,01-01-1980,false
50,brendaN LynCH,liMeRICk pOweRlifTiNg,F,534,30-05-2004,true
51,grAInnE cOUGHlaN,gAlWay ciTy powER,F,1363,20-02-1985,false
52,nIAmh HIGgIns,conNaCht pOwERLIfTInG,F,828,30-08-2000,false
53,oRlaith MURPHY,dONegaL pOwERlIfTiNg,F,782,27-11-1992,false
54,decLan OROuRke,gALwaY City POwer,F,1197,19-11-1987,true
55,ronan doYlE,LimErICK PoWerLiFTInG,M,862,19-08-1998,true
56,EogHaN dOYLe,LIMErICK PoWERlIfTing,M,855,14-01-1993,false
57,EIMEar kELLY,ulstER STrengTH cluB,M,821,03-10-1997,false
58,RORY cAsEy,gaLwAy irOn LeAGuE,F,925,27-07-1991,false
59,JamES caRROLl,WEXforD WEIGHt CLUB,F,696,04-03-1983,false
60,roRy FiNN,BELfASt IRoN WOrks,F,634,12-10-2000,false
61,KEelaN REiLLY,lEinsTeR PoWErhouse,F,561,23-10-1995,false
62,nIAmH cARROLL,DUblin bArbell cluB,F,1200,22-02-1980,false
63,FeARgHal lynch,Cork streNGtH and COndiTiOnINg,M,890,02-12-1980,true
64,sIOBHAN rOche,CARLoW iROn cLuB,M,646,17-04-1991,false
65,aINe kellEheR,SoUtHsIde STrEnGtH,M,1060,30-06-2000,false
66,roISIn KelLEHER,lImericK poWeRLiFtING,M,1285,13-08-1984,true
67,AINE dOyLe,GalWay iroN LeaGue,M,590,04-07-1997,false
68,keELan fInn,dUbLIN MeTRo PoWEr,M,768,25-06-1981,false
69,FEaRGHal KaVanaGH,dOneGAl POweRlIfTIng,M,983,04-10-1996,false
70,GrAINNe CONNOLLy,cORK sTREnGtH anD CoNDItiOnInG,F,1276,08-07-2004,false
71,CILlIAN RAFTer,GALWaY CiTY PoWEr,M,742,21-01-1982,false
72,DECLaN rEillY,CORK barBELl ASsOcIAtIoN,F,865,30-04-1992,false
73,eOgHAn hEaLY,cArloW iRon Club,F,951,02-10-2001,false
74,CLOdAgH BRenNAn,DuBlin meTRO POWer,M,1104,21-05-1994,false
75,NIaMh KeLLEHer,northsIDe PowER GYm,M,911,27-02-1994,false
76,darrAGh keLly,WExfoRd WeiGht club,F,842,18-04-2002,false
77,liAm FiTZgeRALd,dUbliN barBELl Club,M,1166,01-10-2004,false
78,SiNeAD LaRkin,DUBlIN BARBelL ClUB,F,780,23-11-1986,false
79,elLeN LENehaN,lIMERicK pOweRLIfting,F,1056,06-01-1980,false
80,SaOIRse BrENnaN,galwaY iroN lEAguE,M,1128,21-08-1999,false
81,SHaNe cORCoran,GALWaY iroN leaguE,M,510,19-10-1998,false
82,oisiN mCgrath,wAteRForD pOWERLIFTing,M,757,22-08-1998,false
83,EmMA lArKIn,dUblIN meTro PoWER,F,798,14-08-1989,false
84,saoIRSe oSuLLivAn,noRThSiDe PoWeR gYm,F,926,01-03-1992,false
85,KEELAN BrAdy,cOrk STRenGth aND CONDItIOniNg,M,1009,25-10-1992,false
86,tAdhg cOnnolly,DUbLiN meTRO pOWeR,M,1014,15-08-2000,true
87,MiCHeAl MCgRAth,DuBlin METRO poWer,M,1366,22-04-1989,false
88,NIAmH mccARTHy,gALwAy IRon lEAgue,F,932,04-01-1980,false
89,oRNa OdONneLL,donEgaL PoWErlifting,F,614,31-10-1997,true
90,ALaN barRett,LeiNSTEr POWerhouSe,M,1059,01-04-1996,false
91,conoR wAlSh,WEXFORD weigHt clUb,F,1117,27-01-1996,false
